district,date_start,date_end,dengue_A,dengue_B,dysentery_A,dysentery_B,encephalitis_A,encephalitis_B,enteric_fever_A,enteric_fever_B,food_poisoning_A,food_poisoning_B,leptospirosis_A,leptospirosis_B,typhus_f_A,typhus_f_B,viral_hep_A,viral_hep_B,rabies_A,rabies_B,chickenpox_A,chickenpox_B,meningitis_A,meningitis_B,leishmania_A,leishmania_B,tuberculosis_A,tuberculosis_B,wrcd_A,wrcd_B,lepto,dengue
Matara,2016-03-12,2016-03-18,12,257,0,16,0,1,0,3,4,30,6,40,1,18,1,10,0,0,1,59,0,2,9,75,100,100,0,0,6,12
Jaffna,2016-03-12,2016-03-18,44,1011,7,64,0,1,1,27,0,14,0,7,12,452,0,4,0,0,3,69,1,8,0,0,100,100,0,0,0,44
Kilinochchi,2016-03-12,2016-03-18,0,30,0,12,0,0,0,14,0,0,0,7,1,14,0,0,0,0,2,2,0,3,0,0,50,100,0,0,0,0
Mannar,2016-03-12,2016-03-18,0,62,0,2,0,4,0,8,0,1,1,8,0,32,0,0,0,0,0,1,0,1,0,0,20,60,0,0,1,0
Vavuniya,2016-03-12,2016-03-18,1,100,0,2,0,0,0,5,0,8,0,9,0,6,0,2,0,0,3,9,0,0,0,2,50,50,0,0,0,1
Mullaitivu,2016-03-12,2016-03-18,1,56,1,6,0,0,1,11,0,4,0,8,0,4,0,0,0,0,0,1,0,2,0,4,60,60,0,0,0,1
Batticaloa,2016-03-12,2016-03-18,13,204,1,73,0,0,1,7,0,83,3,16,0,4,0,4,0,0,2,17,0,3,0,1,71,100,0,0,3,13
Ampara,2016-03-12,2016-03-18,0,310,0,23,0,1,0,3,0,5,0,17,0,0,1,4,0,4,0,28,0,6,0,2,52,142,0,0,0,0
Trincomalee,2016-03-12,2016-03-18,5,173,0,15,0,0,0,5,0,1,0,2,1,5,0,21,0,1,4,51,0,3,0,1,67,92,0,0,0,5
Kurunegala,2016-03-12,2016-03-18,15,439,1,46,0,4,0,1,0,5,2,45,0,6,2,11,0,1,3,76,0,8,2,25,74,93,0,0,2,15
Puttalam,2016-03-12,2016-03-18,8,376,1,12,0,0,0,3,0,0,0,21,6,49,0,0,0,0,1,22,0,10,0,0,31,77,0,0,0,8
Anuradhapura,2016-03-12,2016-03-18,1,170,0,22,0,1,0,1,0,20,2,124,0,11,0,9,0,0,5,53,0,10,5,55,47,84,0,0,2,1
Polonnaruwa,2016-03-12,2016-03-18,4,116,0,9,0,2,0,8,0,3,2,44,0,1,0,2,0,0,1,25,1,5,2,36,86,86,0,0,2,4
Badulla,2016-03-12,2016-03-18,5,142,0,24,1,7,0,2,0,2,0,38,2,21,3,33,0,0,1,41,0,55,0,0,59,82,0,0,0,5
Monaragala,2016-03-12,2016-03-18,4,95,0,12,0,1,0,2,0,0,7,91,1,31,1,37,0,1,0,18,0,11,0,7,64,91,0,0,7,4
Ratnapura,2016-03-12,2016-03-18,29,423,8,56,0,10,0,11,0,14,5,78,0,7,8,49,0,0,3,43,8,38,0,0,78,94,0,0,5,29
Kegalle,2016-03-12,2016-03-18,13,376,3,12,1,7,2,13,0,8,5,60,0,5,2,9,0,0,6,103,3,13,0,0,82,100,0,0,5,13
Colombo,2016-03-05,2016-03-11,201,3736,3,29,0,0,1,12,1,1,10,37,0,2,0,8,0,0,7,85,0,8,0,0,75,75,0,0,10,201
Gampaha,2016-03-05,2016-03-11,75,1439,1,10,0,4,0,9,0,0,9,49,0,5,0,12,0,0,8,100,1,17,0,2,73,73,0,0,9,75
Kalutara,2016-03-05,2016-03-11,50,659,1,18,0,1,1,10,2,7,15,111,0,4,2,8,0,0,7,63,0,14,0,0,79,79,0,0,15,50
Kandy,2016-03-05,2016-03-11,38,558,2,29,0,8,0,8,2,13,0,51,3,18,2,21,0,0,5,30,2,12,0,4,87,87,0,0,0,38
Matale,2016-03-05,2016-03-11,7,98,0,8,0,1,0,4,0,1,3,35,0,8,0,6,0,0,1,9,0,18,0,11,77,77,0,0,3,7
Nuwara-Eliya,2016-03-05,2016-03-11,8,73,1,11,0,1,4,15,0,8,0,11,2,11,1,3,0,0,1,35,0,6,0,0,10,100,0,0,0,8
Galle,2016-03-05,2016-03-11,30,441,0,16,0,3,0,1,0,2,2,85,1,24,0,4,0,0,10,65,1,17,0,1,90,90,0,0,2,30
Hambantota,2016-03-05,2016-03-11,9,184,0,11,0,0,0,0,0,34,4,36,0,25,0,10,0,0,7,60,1,4,8,100,75,75,0,0,4,9
Matara,2016-03-05,2016-03-11,14,245,1,16,0,1,2,3,0,26,5,34,1,17,0,9,0,0,7,58,1,2,4,66,10,100,0,0,5,14
Jaffna,2016-03-05,2016-03-11,43,967,3,57,0,1,2,26,1,14,0,7,22,440,1,4,0,0,13,66,1,7,0,0,10,100,0,0,0,43
Kilinochchi,2016-03-05,2016-03-11,1,29,0,11,0,0,0,12,0,0,0,7,0,12,0,0,0,0,0,0,0,3,0,0,25,25,0,0,0,1
Mannar,2016-03-05,2016-03-11,3,62,0,2,1,4,1,8,0,1,0,7,1,32,0,0,0,0,0,1,1,1,0,0,80,80,0,0,0,3
Vavuniya,2016-03-05,2016-03-11,1,92,0,2,0,0,0,5,1,8,1,9,1,6,0,2,0,0,0,6,0,0,0,2,50,50,0,0,1,1
Mullaitivu,2016-03-05,2016-03-11,12,55,0,5,0,0,4,10,0,4,0,8,0,4,0,0,0,0,0,1,1,2,0,4,60,60,0,0,0,12
Batticaloa,2016-03-05,2016-03-11,4,190,1,72,0,0,1,6,0,46,0,13,0,4,0,4,0,0,0,13,0,3,0,1,71,71,0,0,0,4
Ampara,2016-03-05,2016-03-11,13,304,1,23,0,1,0,3,0,5,0,14,0,0,0,3,0,4,1,23,0,5,0,2,62,62,0,0,0,13
Trincomalee,2016-03-05,2016-03-11,12,167,1,15,0,0,0,5,1,1,0,2,0,4,1,21,0,1,8,46,1,3,0,1,83,83,0,0,0,12
Kurunegala,2016-03-05,2016-03-11,23,421,4,45,0,4,1,1,0,5,5,42,0,6,1,8,0,1,2,72,0,8,3,22,70,70,0,0,5,23
Puttalam,2016-03-05,2016-03-11,8,361,0,11,0,0,0,3,0,0,2,21,0,43,0,0,0,0,2,21,1,10,0,0,54,54,0,0,2,8
Anuradhapura,2016-03-05,2016-03-11,7,167,1,22,0,1,0,1,2,20,7,121,0,10,1,8,0,0,5,48,0,10,6,48,53,53,0,0,7,7
Polonnaruwa,2016-03-05,2016-03-11,5,111,0,9,0,2,1,8,0,3,1,42,0,1,1,2,0,0,1,20,0,4,4,34,71,71,0,0,1,5
Badulla,2016-03-05,2016-03-11,6,131,1,23,2,6,0,2,0,2,2,36,1,19,1,29,0,0,2,38,5,53,0,0,65,65,0,0,2,6
Monaragala,2016-03-05,2016-03-11,4,91,3,12,0,1,1,2,0,0,5,84,4,30,5,35,0,1,0,18,1,11,0,7,91,91,0,0,5,4
Ratnapura,2016-03-05,2016-03-11,40,375,3,44,1,10,0,10,1,14,9,69,0,7,6,36,0,0,3,39,0,30,0,0,67,67,0,0,9,40
Kegalle,2016-03-05,2016-03-11,17,357,1,9,0,6,0,11,1,8,2,55,0,5,0,6,0,0,4,90,5,10,0,0,82,82,0,0,2,17
Colombo,2016-02-27,2016-03-04,287,3506,2,24,0,0,0,11,0,0,4,27,0,2,1,8,0,0,15,77,2,8,0,0,81,94,0,0,4,287
Gampaha,2016-02-27,2016-03-04,45,1260,2,9,0,4,0,6,0,0,6,38,1,5,0,12,0,0,18,91,2,15,0,2,47,87,0,0,6,45
Kalutara,2016-02-27,2016-03-04,45,598,0,17,0,1,2,8,0,5,6,95,1,4,2,5,0,0,8,55,2,14,0,0,71,100,0,0,6,45
Kandy,2016-02-27,2016-03-04,38,511,0,26,0,8,0,8,0,11,1,51,1,14,2,19,0,0,2,25,1,8,0,4,87,96,0,0,1,38
Matale,2016-02-27,2016-03-04,12,89,1,8,0,1,0,4,1,1,2,32,0,8,1,6,0,0,1,8,1,17,1,11,77,100,0,0,2,12
Nuwara-Eliya,2016-02-27,2016-03-04,6,65,1,10,0,1,2,11,8,8,1,11,0,9,0,2,0,0,6,34,1,6,0,0,92,100,0,0,1,6
Galle,2016-02-27,2016-03-04,29,409,2,16,0,3,0,1,0,2,6,83,1,23,0,4,0,0,9,55,0,16,0,1,85,100,0,0,6,29
Hambantota,2016-02-27,2016-03-04,15,175,0,11,0,0,0,0,34,34,2,32,0,25,1,10,0,0,5,52,1,2,11,89,100,100,0,0,2,15
Matara,2016-02-27,2016-03-04,13,231,3,15,0,1,0,1,0,26,5,29,3,16,1,9,0,0,11,51,1,1,9,62,100,100,0,0,5,13
Jaffna,2016-02-27,2016-03-04,33,924,3,54,0,1,2,24,0,13,0,7,19,418,2,3,0,0,11,53,1,6,0,0,100,100,0,0,0,33
Kilinochchi,2016-02-27,2016-03-04,1,24,1,8,0,0,0,12,0,0,0,7,0,12,0,0,0,0,0,0,0,3,0,0,50,75,0,0,0,1
Mannar,2016-02-27,2016-03-04,1,59,0,2,0,3,0,6,0,1,0,7,1,27,0,0,0,0,0,1,0,0,0,0,40,100,0,0,0,1
Vavuniya,2016-02-27,2016-03-04,2,90,0,2,0,0,0,5,0,6,0,8,0,5,0,2,0,0,1,6,0,0,0,2,25,100,0,0,0,2
Mullaitivu,2016-02-27,2016-03-04,4,43,1,5,0,0,2,6,4,4,0,8,0,4,0,0,0,0,0,1,0,1,1,4,80,100,0,0,0,4
Batticaloa,2016-02-27,2016-03-04,9,182,6,71,0,0,1,5,45,46,2,12,1,3,0,4,0,0,2,13,0,3,0,1,64,100,0,0,2,9
Ampara,2016-02-27,2016-03-04,23,282,0,22,1,1,0,3,0,5,1,11,0,0,0,2,0,4,2,20,0,5,0,1,85,171,0,0,1,23
Trincomalee,2016-02-27,2016-03-04,10,154,1,14,0,0,0,5,0,0,0,2,0,4,0,20,0,1,3,38,0,2,0,1,75,92,0,0,0,10
Kurunegala,2016-02-27,2016-03-04,31,398,4,41,0,4,0,0,0,5,1,37,2,6,2,7,0,1,9,70,0,8,1,19,93,93,0,0,1,31
Puttalam,2016-02-27,2016-03-04,25,322,2,11,0,0,0,3,0,0,3,19,1,37,0,0,0,0,4,19,0,9,0,0,46,62,0,0,3,25
Anuradhapura,2016-02-27,2016-03-04,18,155,1,21,0,1,0,0,0,18,3,114,1,10,0,7,0,0,3,41,3,10,3,42,74,95,0,0,3,18
Polonnaruwa,2016-02-27,2016-03-04,6,102,0,9,0,2,0,7,0,2,1,41,0,1,0,1,0,0,2,18,0,3,2,30,57,86,0,0,1,6
Badulla,2016-02-27,2016-03-04,6,122,1,21,0,4,0,1,0,2,1,34,1,18,1,27,0,0,5,35,7,47,0,0,71,88,0,0,1,6
Monaragala,2016-02-27,2016-03-04,5,83,1,9,0,1,0,1,0,0,6,78,4,25,1,29,0,1,1,18,0,10,1,6,73,91,0,0,6,5
Ratnapura,2016-02-27,2016-03-04,18,335,2,41,1,9,1,10,4,13,3,60,0,7,4,30,0,0,2,36,1,30,0,0,83,89,0,0,3,18
Kegalle,2016-02-27,2016-03-04,20,334,1,8,1,6,0,11,0,7,1,53,0,5,0,6,0,0,3,84,1,5,0,0,82,91,0,0,1,20
Colombo,2016-02-20,2016-02-26,254,3154,1,22,0,0,0,10,0,0,2,22,0,2,1,7,0,0,6,61,0,6,0,0,69,88,0,0,2,254
Gampaha,2016-02-20,2016-02-26,65,1143,0,7,0,4,1,6,0,0,3,31,0,4,0,12,0,0,7,72,3,13,0,2,47,67,0,0,3,65
Kalutara,2016-02-20,2016-02-26,58,541,0,17,1,1,0,6,0,5,10,81,0,3,0,3,0,0,6,47,2,12,0,0,79,100,0,0,10,58
Kandy,2016-02-20,2016-02-26,23,456,3,24,0,7,0,7,1,10,1,50,2,13,1,14,0,0,2,23,1,7,0,4,74,91,0,0,1,23
Matale,2016-02-20,2016-02-26,5,77,0,7,0,1,0,4,0,0,2,30,0,8,0,5,0,0,0,7,2,16,0,10,62,100,0,0,2,5
Nuwara-Eliya,2016-02-20,2016-02-26,3,59,2,9,0,1,1,9,0,0,0,10,1,9,0,2,0,0,7,28,2,5,0,0,85,92,0,0,0,3
Galle,2016-02-20,2016-02-26,28,380,0,13,0,3,0,1,0,2,7,77,0,22,0,4,0,0,6,45,0,16,0,1,95,100,0,0,7,28
Hambantota,2016-02-20,2016-02-26,13,157,0,10,0,0,0,0,0,0,1,30,3,25,0,9,0,0,9,46,0,1,8,78,92,100,0,0,1,13
Matara,2016-02-20,2016-02-26,31,218,2,12,0,1,0,1,0,26,0,24,1,13,2,8,0,0,3,40,0,0,12,53,100,100,0,0,0,31
Jaffna,2016-02-20,2016-02-26,65,890,4,51,0,1,2,22,0,13,0,7,29,396,0,1,0,0,15,42,0,5,0,0,83,92,0,0,0,65
Kilinochchi,2016-02-20,2016-02-26,4,22,0,7,0,0,0,12,0,0,1,7,1,12,0,0,0,0,0,0,0,3,0,0,50,75,0,0,1,4
Mannar,2016-02-20,2016-02-26,6,58,0,2,0,3,0,6,0,1,0,7,2,26,0,0,0,0,0,1,0,0,0,0,60,80,0,0,0,6
Vavuniya,2016-02-20,2016-02-26,8,87,0,2,0,0,0,5,2,6,0,8,1,4,2,2,0,0,0,2,0,0,0,2,50,75,0,0,0,8
Mullaitivu,2016-02-20,2016-02-26,1,39,0,4,0,0,1,4,0,0,0,8,1,4,0,0,0,0,0,1,0,1,0,3,80,80,0,0,0,1
Batticaloa,2016-02-20,2016-02-26,17,170,5,65,0,0,0,4,0,1,1,10,0,2,1,4,0,0,2,11,0,3,0,1,79,93,0,0,1,17
Ampara,2016-02-20,2016-02-26,15,235,2,22,0,0,0,3,1,4,0,10,0,0,0,2,0,4,2,18,1,5,0,1,83,135,0,0,0,15
Trincomalee,2016-02-20,2016-02-26,14,144,0,13,0,0,2,5,0,0,0,2,0,4,0,20,0,1,10,35,0,2,1,1,83,92,0,0,0,14
Kurunegala,2016-02-20,2016-02-26,35,360,4,37,1,4,0,0,0,5,3,35,0,4,2,5,0,1,8,59,1,8,3,18,67,93,0,0,3,35
Puttalam,2016-02-20,2016-02-26,17,295,2,9,0,0,0,3,0,0,5,16,0,36,0,0,0,0,0,15,2,9,0,0,62,69,0,0,5,17
Anuradhapura,2016-02-20,2016-02-26,3,128,2,18,0,1,0,0,0,18,1,104,1,9,0,7,0,0,1,36,0,7,3,38,42,95,0,0,1,3
Polonnaruwa,2016-02-20,2016-02-26,1,90,0,9,1,1,0,6,2,2,1,38,0,1,0,1,0,0,0,14,1,3,0,28,57,100,0,0,1,1
Badulla,2016-02-20,2016-02-26,12,112,2,20,1,4,0,1,1,2,3,33,4,17,1,25,0,0,2,27,2,36,0,0,59,88,0,0,3,12
Monaragala,2016-02-20,2016-02-26,3,74,0,8,0,1,0,1,0,0,0,70,1,16,2,27,1,1,0,15,1,10,0,5,64,82,0,0,0,3
Ratnapura,2016-02-20,2016-02-26,25,274,3,31,0,8,2,8,3,8,3,53,0,7,1,25,0,0,3,31,2,26,0,0,56,89,0,0,3,25
Kegalle,2016-02-20,2016-02-26,34,300,1,6,2,5,0,11,0,7,2,47,0,3,1,5,0,0,13,75,0,4,0,0,82,91,0,0,2,34
Colombo,2016-02-13,2016-02-19,351,2863,1,20,0,0,1,10,0,0,8,19,0,2,1,6,0,0,5,54,0,5,0,0,69,81,0,0,8,351
Gampaha,2016-02-13,2016-02-19,46,981,2,5,0,4,1,5,0,0,1,25,0,4,0,11,0,0,1,65,1,9,1,2,40,73,0,0,1,46
Kalutara,2016-02-13,2016-02-19,75,456,4,17,0,0,1,6,4,5,6,68,0,3,0,2,0,0,6,38,3,10,0,0,79,93,0,0,6,75
Kandy,2016-02-13,2016-02-19,50,425,1,21,1,7,2,7,2,9,7,49,1,11,1,13,0,0,3,21,2,6,0,4,87,91,0,0,7,50
Matale,2016-02-13,2016-02-19,8,71,0,7,0,1,1,4,0,0,0,27,0,8,2,4,0,0,1,6,0,14,0,10,54,85,0,0,0,8
Nuwara-Eliya,2016-02-13,2016-02-19,9,56,3,7,0,1,1,8,0,0,0,10,2,8,1,2,0,0,8,21,1,3,0,0,100,100,0,0,0,9
Galle,2016-02-13,2016-02-19,46,351,4,13,1,3,0,1,0,2,12,70,0,22,0,4,0,0,5,39,1,16,0,1,95,100,0,0,12,46
Hambantota,2016-02-13,2016-02-19,25,139,0,10,0,0,0,0,0,0,5,29,2,22,1,9,0,0,7,37,0,1,11,70,83,92,0,0,5,25
Matara,2016-02-13,2016-02-19,30,187,0,10,0,1,0,1,0,26,1,24,1,12,1,6,0,0,7,37,0,0,2,41,100,100,0,0,1,30
Jaffna,2016-02-13,2016-02-19,74,825,3,47,0,1,2,20,1,13,0,7,36,367,0,1,0,0,6,27,0,5,0,0,92,92,0,0,0,74
Kilinochchi,2016-02-13,2016-02-19,1,15,1,7,0,0,0,11,0,0,0,6,0,8,0,0,0,0,0,0,0,3,0,0,50,75,0,0,0,1
Mannar,2016-02-13,2016-02-19,3,52,0,2,0,3,0,6,0,0,0,7,1,23,0,0,0,0,0,1,0,0,0,0,80,100,0,0,0,3
Vavuniya,2016-02-13,2016-02-19,5,79,0,2,0,0,0,5,0,4,2,8,0,3,0,0,0,0,0,2,0,0,0,2,50,75,0,0,2,5
Mullaitivu,2016-02-13,2016-02-19,2,38,1,4,0,0,0,3,0,0,0,8,0,3,0,0,0,0,1,1,0,1,2,3,80,80,0,0,0,2
Batticaloa,2016-02-13,2016-02-19,12,153,5,60,0,0,1,4,0,1,0,9,1,2,0,3,0,0,1,9,2,3,1,1,93,93,0,0,0,12
Ampara,2016-02-13,2016-02-19,24,205,4,20,0,0,1,3,1,3,3,9,0,0,0,2,1,5,1,15,2,4,1,1,97,156,0,0,3,24
Trincomalee,2016-02-13,2016-02-19,14,129,4,13,0,0,2,3,0,0,0,2,0,4,0,20,1,1,6,25,1,2,0,0,75,83,0,0,0,14
Kurunegala,2016-02-13,2016-02-19,47,317,4,32,0,3,0,0,0,5,1,32,0,4,1,3,0,0,5,49,1,7,3,15,85,96,0,0,1,47
Puttalam,2016-02-13,2016-02-19,49,273,2,7,0,0,0,3,0,0,0,11,2,36,0,0,0,0,2,14,1,7,0,0,62,69,0,0,0,49
Anuradhapura,2016-02-13,2016-02-19,11,121,2,16,0,1,0,0,0,18,4,98,1,8,1,7,0,0,8,34,1,6,2,35,58,89,0,0,4,11
Polonnaruwa,2016-02-13,2016-02-19,16,89,1,9,0,0,0,6,0,0,1,37,0,1,1,1,0,0,4,14,0,2,3,28,100,100,0,0,1,16
Badulla,2016-02-13,2016-02-19,6,97,3,18,1,3,0,1,0,0,5,30,2,12,7,22,0,0,4,22,1,28,0,0,71,94,0,0,5,6
Monaragala,2016-02-13,2016-02-19,9,71,1,8,0,1,0,1,0,0,5,70,3,15,3,25,0,0,3,15,2,9,0,5,100,100,0,0,5,9
Ratnapura,2016-02-13,2016-02-19,34,247,6,25,1,8,0,6,0,5,3,49,1,7,1,24,0,0,1,28,1,24,0,0,78,83,0,0,3,34
Kegalle,2016-02-13,2016-02-19,19,266,0,5,0,3,0,11,0,7,1,45,0,3,0,4,0,0,6,62,0,4,0,0,73,73,0,0,1,19
Colombo,2016-01-30,2016-02-05,466,2065,1,17,0,0,2,8,0,0,1,9,0,1,3,4,0,0,9,37,1,4,0,0,81,88,0,0,1,466
Gampaha,2016-01-30,2016-02-05,51,565,0,1,0,3,2,3,0,0,1,10,0,2,1,5,0,0,1,33,0,6,1,1,27,87,0,0,1,51
Kalutara,2016-01-30,2016-02-05,48,296,2,12,0,0,3,4,0,0,7,46,0,3,0,2,0,0,8,27,0,6,0,0,64,93,0,0,7,48
Kandy,2016-01-30,2016-02-05,62,307,3,13,1,6,1,5,1,6,3,35,1,10,2,11,0,0,4,14,1,4,2,4,87,100,0,0,3,62
Matale,2016-01-30,2016-02-05,9,42,0,3,0,1,1,3,0,0,1,21,2,5,1,1,0,0,0,3,0,12,1,7,46,100,0,0,1,9
Nuwara-Eliya,2016-01-30,2016-02-05,7,43,1,4,1,1,2,7,0,0,0,9,3,6,0,1,0,0,7,13,0,1,0,0,92,100,0,0,0,7
Galle,2016-01-30,2016-02-05,42,250,1,7,0,1,0,1,0,2,6,47,2,18,0,3,0,0,2,21,0,13,0,0,65,95,0,0,6,42
Hambantota,2016-01-30,2016-02-05,13,91,0,8,0,0,0,0,0,0,3,22,1,15,0,6,0,0,1,22,0,1,18,50,83,100,0,0,3,13
Matara,2016-01-30,2016-02-05,30,139,3,9,0,1,0,1,0,26,2,20,1,9,2,4,0,0,7,25,0,0,5,37,100,100,0,0,2,30
Jaffna,2016-01-30,2016-02-05,102,687,6,40,0,1,3,14,1,7,1,7,47,301,1,1,0,0,7,19,1,4,0,0,100,100,0,0,1,102
Kilinochchi,2016-01-30,2016-02-05,2,13,1,6,0,0,1,4,0,0,0,3,0,6,0,0,0,0,0,0,0,3,0,0,50,50,0,0,0,2
Mannar,2016-01-30,2016-02-05,11,42,0,2,0,3,2,5,0,0,1,6,6,18,0,0,0,0,0,1,0,0,0,0,100,100,0,0,1,11
Vavuniya,2016-01-30,2016-02-05,8,69,0,2,0,0,1,4,0,4,0,6,0,3,0,0,0,0,0,2,0,0,1,2,50,50,0,0,0,8
Mullaitivu,2016-01-30,2016-02-05,2,26,0,2,0,0,1,3,0,0,2,8,0,1,0,0,0,0,0,0,1,1,0,1,80,100,0,0,2,2
Batticaloa,2016-01-30,2016-02-05,10,119,14,46,0,0,0,2,0,1,4,8,0,0,0,1,0,0,0,4,0,1,0,0,86,100,0,0,4,10
Ampara,2016-01-30,2016-02-05,14,117,1,13,0,0,0,2,0,2,0,5,0,0,0,2,1,1,2,11,0,2,0,0,62,186,0,0,0,14
Trincomalee,2016-01-30,2016-02-05,23,99,2,9,0,0,0,1,0,0,0,1,1,3,4,20,0,0,2,16,0,1,0,0,83,92,0,0,0,23
Kurunegala,2016-01-30,2016-02-05,40,224,3,22,0,2,0,0,0,5,4,28,0,3,0,1,0,0,6,30,0,4,1,11,70,89,0,0,4,40
Puttalam,2016-01-30,2016-02-05,15,186,0,3,0,0,0,1,0,0,3,11,5,29,0,0,0,0,1,12,1,6,0,0,62,92,0,0,3,15
Anuradhapura,2016-01-30,2016-02-05,6,94,1,12,0,1,0,0,0,18,5,87,0,5,2,5,0,0,5,17,0,3,6,24,58,74,0,0,5,6
Polonnaruwa,2016-01-30,2016-02-05,11,54,1,8,0,0,1,6,0,0,1,34,0,0,0,0,0,0,0,9,0,1,1,21,86,86,0,0,1,11
Badulla,2016-01-30,2016-02-05,6,86,3,14,2,2,0,1,0,0,4,20,0,10,6,12,0,0,4,15,4,23,0,0,76,88,0,0,4,6
Monaragala,2016-01-30,2016-02-05,6,54,1,7,0,1,0,1,0,0,9,61,4,12,6,19,0,0,3,10,2,7,0,3,82,91,0,0,9,6
Ratnapura,2016-01-30,2016-02-05,28,165,1,15,1,5,1,6,5,5,5,35,0,5,1,18,0,0,3,16,1,10,0,0,67,89,0,0,5,28
Kegalle,2016-01-30,2016-02-05,25,188,2,4,0,3,0,10,1,6,4,44,0,3,0,4,0,0,5,45,2,4,0,0,55,91,0,0,4,25
Colombo,2016-02-06,2016-02-12,354,2457,1,18,0,0,0,8,0,0,1,11,0,1,0,4,0,0,10,47,0,5,0,0,88,94,0,0,1,354
Gampaha,2016-02-06,2016-02-12,92,889,0,2,0,4,0,3,0,0,5,23,0,4,0,10,0,0,8,61,0,8,0,1,47,80,0,0,5,92
Kalutara,2016-02-06,2016-02-12,60,375,0,13,0,0,0,5,1,1,11,61,0,3,0,2,0,0,4,32,1,7,0,0,86,93,0,0,11,60
Kandy,2016-02-06,2016-02-12,51,373,4,20,0,6,0,5,1,7,6,42,0,10,1,12,0,0,3,18,0,4,0,4,91,96,0,0,6,51
Matale,2016-02-06,2016-02-12,11,60,0,3,0,1,0,3,0,0,3,27,3,8,1,2,0,0,2,5,1,14,1,10,69,85,0,0,3,11
Nuwara-Eliya,2016-02-06,2016-02-12,3,47,0,4,0,1,0,7,0,0,1,10,0,6,0,1,0,0,0,13,1,2,0,0,100,100,0,0,1,3
Galle,2016-02-06,2016-02-12,27,296,2,9,0,2,0,1,0,2,2,54,3,22,0,4,0,0,7,31,2,15,1,1,85,95,0,0,2,27
Hambantota,2016-02-06,2016-02-12,18,114,2,10,0,0,0,0,0,0,2,24,5,20,1,8,0,0,7,30,0,1,8,59,100,100,0,0,2,18
Matara,2016-02-06,2016-02-12,18,157,1,10,0,1,0,1,0,26,3,23,2,11,1,5,0,0,5,30,0,0,2,39,100,100,0,0,3,18
Jaffna,2016-02-06,2016-02-12,64,751,4,44,0,1,4,18,5,12,0,7,30,331,0,1,0,0,2,21,1,5,0,0,100,100,0,0,0,64
Kilinochchi,2016-02-06,2016-02-12,0,13,0,6,0,0,0,5,0,0,0,5,1,7,0,0,0,0,0,0,0,3,0,0,50,75,0,0,0,0
Mannar,2016-02-06,2016-02-12,7,49,0,2,0,3,1,6,0,0,1,7,4,22,0,0,0,0,0,1,0,0,0,0,100,100,0,0,1,7
Vavuniya,2016-02-06,2016-02-12,4,73,0,2,0,0,1,5,0,4,0,6,0,3,0,0,0,0,0,2,0,0,0,2,50,75,0,0,0,4
Mullaitivu,2016-02-06,2016-02-12,9,35,1,3,0,0,0,3,0,0,0,8,2,3,0,0,0,0,0,0,0,1,0,1,60,100,0,0,0,9
Batticaloa,2016-02-06,2016-02-12,18,140,7,53,0,0,1,3,0,1,1,9,0,0,2,3,0,0,4,8,0,1,0,0,71,100,0,0,1,18
Ampara,2016-02-06,2016-02-12,27,174,0,14,0,0,0,2,0,2,0,6,0,0,0,2,1,2,1,14,0,2,0,0,105,157,0,0,0,27
Trincomalee,2016-02-06,2016-02-12,12,113,0,9,0,0,0,1,0,0,0,2,0,4,0,20,0,0,2,19,0,1,0,0,83,92,0,0,0,12
Kurunegala,2016-02-06,2016-02-12,27,263,3,27,1,3,0,0,0,5,1,29,1,4,0,1,0,0,5,40,2,6,0,11,74,96,0,0,1,27
Puttalam,2016-02-06,2016-02-12,17,222,0,5,0,0,1,2,0,0,0,11,0,34,0,0,0,0,0,12,0,6,0,0,62,77,0,0,0,17
Anuradhapura,2016-02-06,2016-02-12,9,104,1,14,0,1,0,0,0,18,4,92,1,7,0,5,0,0,6,25,2,5,6,32,53,100,0,0,4,9
Polonnaruwa,2016-02-06,2016-02-12,10,64,0,8,0,0,0,6,0,0,1,35,0,0,0,0,0,0,0,9,0,1,1,22,43,100,0,0,1,10
Badulla,2016-02-06,2016-02-12,4,91,1,15,0,2,0,1,0,0,5,25,0,10,1,14,0,0,2,18,3,26,0,0,82,94,0,0,5,4
Monaragala,2016-02-06,2016-02-12,7,62,0,7,0,1,0,1,0,0,2,65,0,12,3,22,0,0,2,12,0,7,0,5,91,91,0,0,2,7
Ratnapura,2016-02-06,2016-02-12,11,200,1,19,0,7,0,6,0,5,4,43,1,6,3,22,0,0,5,24,3,17,0,0,72,94,0,0,4,11
Kegalle,2016-02-06,2016-02-12,36,231,0,5,0,3,1,11,0,7,0,44,0,3,0,4,0,0,2,53,0,4,0,0,82,100,0,0,0,36
Colombo,2016-01-23,2016-01-29,472,1533,3,16,0,0,0,6,0,0,1,7,1,1,0,1,0,0,8,28,2,3,0,0,81,94,0,0,1,472
Gampaha,2016-01-23,2016-01-29,106,430,0,1,0,3,0,1,0,0,1,7,0,1,1,4,0,0,12,32,0,3,0,0,53,100,0,0,1,106
Kalutara,2016-01-23,2016-01-29,59,207,2,9,0,0,0,1,0,0,3,34,0,3,2,2,0,0,4,14,4,6,0,0,71,100,0,0,3,59
Kandy,2016-01-23,2016-01-29,64,244,1,10,0,4,1,4,1,5,4,32,3,9,1,9,0,0,4,10,0,3,0,2,87,100,0,0,4,64
